,title,image,link
0,The Homestead Strike,null,https://lawyersgunsmon.wpengine.com/2011/07/this-date-in-american-labor-history-july-6-1892
1,The Bisbee Deportation,http://lawyersgunsmon.wpengine.com/wp-content/uploads/2011/07/Bisbee_deportation_guns.jpg,https://lawyersgunsmon.wpengine.com/2011/07/this-date-in-labor-history-july-12-1917
2,The Great Railroad Strike,http://lawyersgunsmon.wpengine.com/wp-content/uploads/2011/07/uen_fea_grstrike_hrpr.jpg,https://lawyersgunsmon.wpengine.com/2011/07/this-day-in-labor-history-july-14-1877
3,The Stono Rebellion,http://lawyersgunsmon.wpengine.com/wp-content/uploads/2011/09/41647436_fffad5f448.jpg,https://lawyersgunsmon.wpengine.com/2011/09/this-day-in-labor-history-september-9-1739
4,The Pittston Strike,http://lawyersgunsmon.wpengine.com/wp-content/uploads/2011/09/1989_pittston_coal_strike_a_battle_for_workers_rig.jpg,https://lawyersgunsmon.wpengine.com/2011/09/this-day-in-labor-history-september-17-1989
5,Bacon’s Rebellion,http://lawyersgunsmon.wpengine.com/wp-content/uploads/2011/10/Jamestown_Burning_BAH.jpg,https://lawyersgunsmon.wpengine.com/2011/10/this-date-in-labor-history-october-26-1676
6,The Everett Massacre,http://lawyersgunsmon.wpengine.com/wp-content/uploads/2011/11/shingleweaver.jpg,https://lawyersgunsmon.wpengine.com/2011/11/this-day-in-labor-history-november-5-1916
7,Creation of the CIO,null,https://lawyersgunsmon.wpengine.com/2011/11/this-day-in-labor-history-november-9-1935
8,The Centralia Massacre,http://lawyersgunsmon.wpengine.com/wp-content/uploads/2011/11/goryhistory.jpg,https://lawyersgunsmon.wpengine.com/2011/11/this-day-in-labor-history-november-11-1919
9,"Uprising of the 20,000",http://lawyersgunsmon.wpengine.com/wp-content/uploads/2011/11/1122.1909_Triangle-Strikers.jpg,https://lawyersgunsmon.wpengine.com/2011/11/this-day-in-labor-history-november-22-1909
10,The Oakland General Strike,http://lawyersgunsmon.wpengine.com/wp-content/uploads/2011/11/page14_oakland_strike.jpg,https://lawyersgunsmon.wpengine.com/2011/12/this-day-in-labor-history-december-2-1946
11,Merger of the AFL and CIO,null,https://lawyersgunsmon.wpengine.com/2011/12/this-day-in-labor-history-december-5-1955
12,Founding of the Knights of Labor,http://lawyersgunsmon.wpengine.com/wp-content/uploads/2011/12/250px-Knights_of_labor_seal.gif,https://lawyersgunsmon.wpengine.com/2011/12/this-day-in-labor-history-december-28-1869
13,Murder of former Idaho Governor Frank Steunenberg,http://lawyersgunsmon.wpengine.com/wp-content/uploads/2011/12/Steunenberglg.jpg,https://lawyersgunsmon.wpengine.com/2011/12/this-day-in-labor-history-december-30-1905
14,NAFTA,null,https://lawyersgunsmon.wpengine.com/2012/01/this-day-in-labor-history-january-1-1994
15,Murder of UMWA reformer Jock Yablonski,http://lawyersgunsmon.wpengine.com/wp-content/uploads/2012/01/John-L.-Lewis.jpg,https://lawyersgunsmon.wpengine.com/2012/01/this-day-in-labor-history-january-5-1970
16,The Seattle General Strike,http://lawyersgunsmon.wpengine.com/wp-content/uploads/2012/02/Skinner_and_Eddy_shipyard_workers_1919_UWDigital.thumb_.jpg,https://lawyersgunsmon.wpengine.com/2012/02/this-day-in-labor-history-february-6-1919
17,The Flint Sit-Down Strike ends.,http://lawyersgunsmon.wpengine.com/wp-content/uploads/2012/02/Flint_Sit-Down_Strike_window.jpg,https://lawyersgunsmon.wpengine.com/2012/02/this-day-in-labor-history-february-11-1937
18,Beating of the women and children at Lawrence ,http://lawyersgunsmon.wpengine.com/wp-content/uploads/2012/02/300px-1912_Lawrence_Textile_Strike_1.jpg,https://lawyersgunsmon.wpengine.com/2012/02/this-day-in-labor-history-february-24-1912
19,Triangle Shirtwaist Fire,http://lawyersgunsmon.wpengine.com/wp-content/uploads/2012/03/max-blanck-and-thomas-harris-of-triangle-shirtwaist-company-a-closed-door-policy-killed-146-employees.jpg,https://lawyersgunsmon.wpengine.com/2012/03/this-day-in-labor-history-march-25-1911
20,Assassination of Martin Luther King during sanitation strike in Memphis,http://lawyersgunsmon.wpengine.com/wp-content/uploads/2012/04/i-am.jpg,https://lawyersgunsmon.wpengine.com/2012/04/this-day-in-labor-history-april-4-1968
21,Ludlow Massacre,http://lawyersgunsmon.wpengine.com/wp-content/uploads/2012/04/Ludlow-Family.jpg,https://lawyersgunsmon.wpengine.com/2012/04/this-day-in-labor-history-april-20-1914
22,Coxey’s Army,http://lawyersgunsmon.wpengine.com/wp-content/uploads/2012/04/300px-Coxey_commonweal_army_brightwood_leaving.jpg,https://lawyersgunsmon.wpengine.com/2012/04/this-day-in-labor-history-april-30-1894
23,Haymarket Riot,http://lawyersgunsmon.wpengine.com/wp-content/uploads/2012/05/Haymarket-Meeting-Poster.jpg,https://lawyersgunsmon.wpengine.com/2012/05/this-day-in-labor-history-may-4-1886
24,Longshoremen strike begins in San Francisco,http://lawyersgunsmon.wpengine.com/wp-content/uploads/2012/05/164.jpg,https://lawyersgunsmon.wpengine.com/2012/05/this-day-in-labor-history-may-9-1934
25,Minneapolis Teamsters Strike,http://lawyersgunsmon.wpengine.com/wp-content/uploads/2012/05/ibt.jpg,https://lawyersgunsmon.wpengine.com/2012/05/this-day-in-labor-history-may-16-1934
26,Matewan Massacre,http://lawyersgunsmon.wpengine.com/wp-content/uploads/2012/05/knowlandl3.jpg,https://lawyersgunsmon.wpengine.com/2012/05/this-day-in-labor-history-may-19-1920
27,Memorial Day Massacre in Chicago,null,https://lawyersgunsmon.wpengine.com/2012/05/this-day-in-labor-history-may-30-1937
28,Detroit Hate Strike,http://lawyersgunsmon.wpengine.com/wp-content/uploads/2012/06/Packard_Strike-1024x723.jpg,https://lawyersgunsmon.wpengine.com/2012/06/this-day-in-labor-history-june-6-1943
29,President Truman vetoes Taft-Hartley Act,null,https://lawyersgunsmon.wpengine.com/2012/06/this-day-in-labor-history-june-20-1947
30,Pullman Strike,http://lawyersgunsmon.wpengine.com/wp-content/uploads/2012/06/ihy9412081.jpg,https://lawyersgunsmon.wpengine.com/2012/06/this-day-in-labor-history-june-26-1894
31,Paterson Textile Strike of 1835,null,https://lawyersgunsmon.wpengine.com/2012/07/this-day-in-labor-history-july-3-1835
32,People’s Party Convention,http://lawyersgunsmon.wpengine.com/wp-content/uploads/2012/06/p02.jpg,https://lawyersgunsmon.wpengine.com/2012/07/this-day-in-labor-history-july-4-1892
33,"Miners outside of Coeur d’Alene, Idaho blow up the Frisco Mill",http://lawyersgunsmon.wpengine.com/wp-content/uploads/2012/07/Hydraulic_Mining_in_Idaho.jpg,https://lawyersgunsmon.wpengine.com/2012/07/this-day-in-labor-history-july-11-1892
34,United Farm Workers force growers into the first union contract in the history of California agricultural labor,http://lawyersgunsmon.wpengine.com/wp-content/uploads/2012/07/h97.1.910_edit.jpg,https://lawyersgunsmon.wpengine.com/2012/07/this-day-in-labor-history-july-29-1970
35,Air Traffic Controllers go on strike in biggest disaster in organized labor’s history.,null,https://lawyersgunsmon.wpengine.com/2012/08/this-day-in-labor-history-august-3-1981
36,Creation of the Bracero Program.,null,https://lawyersgunsmon.wpengine.com/2012/08/this-day-in-labor-history-august-4-1942
37,Nat Turner’s Rebellion.,http://lawyersgunsmon.wpengine.com/wp-content/uploads/2012/08/nat-t1.gif,https://lawyersgunsmon.wpengine.com/2012/08/this-day-in-labor-history-august-21-1831
38,Execution of Sacco and Vanzetti,http://lawyersgunsmon.wpengine.com/wp-content/uploads/2012/08/USAsacco2.jpg,https://lawyersgunsmon.wpengine.com/2012/08/this-day-in-labor-history-august-23-1927
39,Founding of the Brotherhood of Sleeping Car Porters,null,https://lawyersgunsmon.wpengine.com/2012/08/this-day-in-labor-history-august-25-1925
40,Rock Springs Massacre,http://lawyersgunsmon.wpengine.com/wp-content/uploads/2012/09/Rock-Springs.jpg,https://lawyersgunsmon.wpengine.com/2012/09/this-day-in-labor-history-september-2-1885
41,"Tobacco workers win contract in North Carolina, starting CIO’s Operation Dixie campaign. ",null,https://lawyersgunsmon.wpengine.com/2012/09/this-day-in-labor-history-september-22-1946
42,International Woodworkers of America Local 3-101 holds a monthly union meeting,null,https://lawyersgunsmon.wpengine.com/2012/10/this-day-in-labor-history-october-23-1976
43,Joe Hill executed in Utah,http://lawyersgunsmon.wpengine.com/wp-content/uploads/2012/11/joe-hill.jpg,https://lawyersgunsmon.wpengine.com/2012/11/this-day-in-labor-history-november-19-1915
44,Thibodaux Massacre,http://lawyersgunsmon.wpengine.com/wp-content/uploads/2012/11/7c7b506daa8ffed8efe7cabeaca86c43_1M.jpg,https://lawyersgunsmon.wpengine.com/2012/11/this-day-in-labor-history-november-22-1887
45,Ratification of the 13th Amendment. ,http://lawyersgunsmon.wpengine.com/wp-content/uploads/2012/12/freed_slaves.jpg,https://lawyersgunsmon.wpengine.com/2012/12/this-day-in-labor-history-december-6-1865
46,Creation of the Colored Farmers Alliance,http://lawyersgunsmon.wpengine.com/wp-content/uploads/2012/12/Cotton.jpg,https://lawyersgunsmon.wpengine.com/2012/12/this-day-in-labor-history-december-11-1886
47,"President Kennedy issues Executive Order 10988, authorizing collective bargaining for public workers",null,https://lawyersgunsmon.wpengine.com/2013/01/this-day-in-labor-history-january-17-1962
48,March on Washington Movement leads to end of official segregation in defense industry. ,http://lawyersgunsmon.wpengine.com/wp-content/uploads/2013/01/220px-A.-Phillip-Randolph.png,https://lawyersgunsmon.wpengine.com/2013/01/this-day-in-labor-history-january-25-1941
49,Cripple Creek gold miners strike,http://lawyersgunsmon.wpengine.com/wp-content/uploads/2013/02/20120207_cripplecreek2.jpg,https://lawyersgunsmon.wpengine.com/2013/02/this-day-in-labor-history-february-7-1894
50,Grover Cleveland signs the Dawes Act.,http://lawyersgunsmon.wpengine.com/wp-content/uploads/2013/02/019.jpg,https://lawyersgunsmon.wpengine.com/2013/02/this-day-in-labor-history-february-8-1887-2
51,Sons of Vulcan win nation’s first union contract,null,https://lawyersgunsmon.wpengine.com/2013/02/this-day-in-labor-history-february-13-1865
52,Supreme Court rules in Oncale v. Sundonwer Offshore Services. Same-sex sexual harassment. ,null,https://lawyersgunsmon.wpengine.com/2013/03/this-day-in-labor-history-march-4-1998
53,River Rouge march and repression. ,null,https://lawyersgunsmon.wpengine.com/2013/03/this-day-in-labor-history-march-7-1932
54,Coalition of Labor Union Women holds first meeting.,null,https://lawyersgunsmon.wpengine.com/2013/03/this-day-in-labor-history-march-23-1974
55,Truman nationalizes steel industry.,http://lawyersgunsmon.wpengine.com/wp-content/uploads/2013/04/truman_steel.jpg,https://lawyersgunsmon.wpengine.com/2013/04/this-day-in-labor-history-april-8-1952
56,OSHA begins,null,https://lawyersgunsmon.wpengine.com/2013/04/this-day-in-labor-history-april-28-1971
57,Wisconsin passes first workers compensation law,http://lawyersgunsmon.wpengine.com/wp-content/uploads/2013/05/i003.jpg,https://lawyersgunsmon.wpengine.com/2013/05/this-day-in-labor-history-may-3-1911
58,Chinese Exclusion Act,http://lawyersgunsmon.wpengine.com/wp-content/uploads/2013/05/exclusion.jpg,https://lawyersgunsmon.wpengine.com/2013/05/this-day-in-labor-history-may-6-1882
59,Kader Toy Fire. ,http://lawyersgunsmon.wpengine.com/wp-content/uploads/2013/05/Kader-Toy-Fire-bodies.jpg,https://lawyersgunsmon.wpengine.com/2013/05/this-day-in-labor-history-may-10-1993
60,"Anthracite coal miners strike in Pennsylvania begins, TR mediates",http://lawyersgunsmon.wpengine.com/wp-content/uploads/2013/05/300px-Coal_miners_in_Hazleton_PA_1900.jpg,https://lawyersgunsmon.wpengine.com/2013/05/this-day-in-labor-history-may-12-1902
61,Battle of the Overpass.,http://lawyersgunsmon.wpengine.com/wp-content/uploads/2013/05/henryford.png,https://lawyersgunsmon.wpengine.com/2013/05/this-day-in-labor-history-may-26-1937
62,Paterson Silk Pageant,http://lawyersgunsmon.wpengine.com/wp-content/uploads/2013/06/flynn-speaking-in-paterson-1913.jpg,https://lawyersgunsmon.wpengine.com/2013/06/this-day-in-labor-history-june-7-1913
63,here,null,https://lawyersgunsmon.wpengine.com/2013/06/paterson-strike-addendum
64,Davis Day,null,https://lawyersgunsmon.wpengine.com/2013/06/this-day-in-labor-history-june-11-1925
65,Eugene Debs arrested for violating Espionage Act. ,http://lawyersgunsmon.wpengine.com/wp-content/uploads/2013/06/F15.gif,https://lawyersgunsmon.wpengine.com/2013/06/this-day-in-labor-history-june-16-1918
66,Molly Maguires executed in Pennsylvania,http://lawyersgunsmon.wpengine.com/wp-content/uploads/2013/06/photo6-e1371745804503.jpg,https://lawyersgunsmon.wpengine.com/2013/06/this-day-in-labor-history-june-21-1877
67,Denmark Vesey executed for planning slave revolt in South Carolina.,null,https://lawyersgunsmon.wpengine.com/2013/07/this-day-in-labor-history-july-2-1822
68,Port Chicago explosion,null,https://lawyersgunsmon.wpengine.com/2013/07/this-day-in-labor-history-july-17-1944
