Title,Date,End,Description,Media,Place,Location,Location_Original,Source,Source URL
The Homestead Strike,06/07/1892,,"<p>This occasional series will highlight moments in American labor and working-class history writ large, including the history of American radicalism and the history of slavery, which too often takes a backseat in American labor history. You can expect 1-3 of these posts a month. I have a running list of 20 dates to talk about over the next year. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2011/07/this-date-in-american-labor-history-july-6-1892"">Read whole article</a></p>",,"Homestead, PA, USA","40.4059025,-79.9119948",,,
The Bisbee Deportation,12/07/1917,,"<p>The summer of 1917 was tense in the United States. The entrance of the nation into World War I that spring seemed to place the entire nation on edge. Progressivism, a diverse movement with widely mixed motivations among its members, showed its dark side like never before, using the increasingly activist federal government to suppress all perceived threats to middle-class, patriotic America. The Wilson Administration cracked down on dissent, passing the Espionage Act in June, a law used, along with several other laws passed during the war, to crack down on any criticism of the war. Anti-immigrant movements increased their activities–after nearly 40 years of intense immigration, Americans’ feared more than ever immigrants’ impact upon the nation. The prohibition movement also took advantage of the war, using the connection between immigrants and alcohol to push through the 18th Amendment. Vigilante attacks against labor organizers, particularly radical labor, increased. To name one notorious incident, I.W.W. organizer Frank Little was lynched in the summer of 1917 in Butte, Montana and probably by Pinkertons (a future topic in this series).</p><p><a href=""http://www.lawyersgunsmoneyblog.com/2011/07/this-date-in-labor-history-july-12-1917"">Read whole article</a></p>",http://lawyersgunsmon.wpengine.com/wp-content/uploads/2011/07/Bisbee_deportation_guns.jpg,"Bisbee, Arizona","31.4481547,-109.9284084",,,
The Great Railroad Strike,14/07/1877,,"<p>On July 14, 1877, the Great Railroad Strike began in Martinsburg, West Virginia. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2011/07/this-day-in-labor-history-july-14-1877"">Read whole article</a></p>",http://lawyersgunsmon.wpengine.com/wp-content/uploads/2011/07/uen_fea_grstrike_hrpr.jpg,,#N/A,,,
The Stono Rebellion,09/09/1739,,"<p>We sometimes don’t immediately think of the history of slavery as labor history, but of course, it’s absolutely fundamental to any understanding of labor history in the American South (and to a lesser extent in the North) both before and after the Civil War. This series will cover major events in the history of slave labor as well as events more typically thought of as labor history. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2011/09/this-day-in-labor-history-september-9-1739"">Read whole article</a></p>",http://lawyersgunsmon.wpengine.com/wp-content/uploads/2011/09/41647436_fffad5f448.jpg,South Carolina,"33.6874388,-80.4363743",,,
The Pittston Strike,17/09/1989,,"<p>On September 17, 1989, 98 miners and one minister conducted a peaceful takeover of the Pittston Moss 3 Coal Preparation Plant. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2011/09/this-day-in-labor-history-september-17-1989"">Read whole article</a></p>",http://lawyersgunsmon.wpengine.com/wp-content/uploads/2011/09/1989_pittston_coal_strike_a_battle_for_workers_rig.jpg,,#N/A,,,
Bacon’s Rebellion,26/10/1676,,"<p>On this date in 1676, Nathaniel Bacon, the leader of the movement known as Bacon’s Rebellion, died of dysentery. This effectively ended the rebellion, an event that helped entrench slavery as the labor system of the American South. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2011/10/this-date-in-labor-history-october-26-1676"">Read whole article</a></p>",http://lawyersgunsmon.wpengine.com/wp-content/uploads/2011/10/Jamestown_Burning_BAH.jpg,,#N/A,,,
The Everett Massacre,05/11/1916,,"<p>On November 5, 1916, a boat loaded with members of the Industrial Workers of the World attempted to dock in Everett, Washington. Local leaders, determined to stop the I.W.W. from entering their nice little town and influencing their striking shingle weavers, opened fire on the docking boat, killing at least 5 I.W.W. members, though probably closer to 12. 2 deputies died as well, shot in the back by friendly fire. Known as the Everett Massacre, this incident was the first of several incidents of organized violence against the I.W.W. in the Northwest during the second half of the 1910s. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2011/11/this-day-in-labor-history-november-5-1916"">Read whole article</a></p>",,"Everett, Washington","47.9673056,-122.2013998",,,
Creation of the CIO,09/11/1935,,"<p>On this date in 1935, the Committee for Industrial Organization (later the Congress of Industrial Organizations) was created. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2011/11/this-day-in-labor-history-november-9-1935"">Read whole article</a></p>",,,#N/A,,,
The Centralia Massacre,11/11/1919,,"<p>On November 11, 1919, the people of Centralia, Washington, a small lumber town in the southwestern part of the state, celebrated the first anniversary of Armistice Day with a parade. However, town leaders and the local American Legion post decided to turn the parade into an attack upon Centralia’s Industrial Workers of the World (I.W.W.) union hall, which they considered the center of subversion and sedition in their community. When the Legion reached the hall, they broke in and began tearing the place apart. What they did not expect was that the radical loggers had prepared an ambush. The I.W.W. had stationed at least two shooters on a hill approximately ¼ mile away. In addition, some of the workers in the hall had weapons. In the hail of bullets, four American Legion members died. Warren Grimm, a University of Washington graduate and lawyer, had not only fought in World War I, but had also served in the military’s anti-Bolshevik force in Siberia before returning to his home town of Centralia. Arthur McElfresh had spent eighteen months in the army in France. The third dead Legionnaire was Ben Casagranda, a Greek-American who went to war for his new nation. The fourth was another University of Washington graduate and member of the Centralia elite, Dale Hubbard.</p><p><a href=""http://www.lawyersgunsmoneyblog.com/2011/11/this-day-in-labor-history-november-11-1919"">Read whole article</a></p>",http://lawyersgunsmon.wpengine.com/wp-content/uploads/2011/11/goryhistory.jpg,"Centralia, Washington","46.7204489,-122.9614303",,,
"Uprising of the 20,000",22/11/1909,,"<p>On November 22, 1909, approximately 20,000 garment workers in New York City went on strike against the horrendous conditions of their sweatshops. This strike, known as the Uprising of the 20,000, was the largest strike led by women in American history to that time. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2011/11/this-day-in-labor-history-november-22-1909"">Read whole article</a></p>",http://lawyersgunsmon.wpengine.com/wp-content/uploads/2011/11/1122.1909_Triangle-Strikers.jpg,New York City,"40.7127281,-74.0060152",,,
